08241: External trade in commodities. Indices of volume and price (2000=100), by imports/exports, quarter and contents;;
;;
imports/exports;quarter;Volume index
Exports;1989K1;48.3
Exports;1989K2;52.2
Exports;1989K3;49.8
Exports;1989K4;53.6
Exports;1990K1;53.0
Exports;1990K2;54.1
Exports;1990K3;52.8
Exports;1990K4;57.6
Exports;1991K1;57.3
Exports;1991K2;59.6
Exports;1991K3;55.0
Exports;1991K4;59.4
Exports;1992K1;63.2
Exports;1992K2;62.0
Exports;1992K3;60.8
Exports;1992K4;64.7
Exports;1993K1;61.8
Exports;1993K2;66.3
Exports;1993K3;63.1
Exports;1993K4;72.8
Exports;1994K1;72.1
Exports;1994K2;72.1
Exports;1994K3;70.6
Exports;1994K4;80.3
Exports;1995K1;79.4
Exports;1995K2;73.6
Exports;1995K3;75.7
Exports;1995K4;83.3
Exports;1996K1;88.6
Exports;1996K2;85.3
Exports;1996K3;85.6
Exports;1996K4;92.4
Exports;1997K1;90.2
Exports;1997K2;93.7
Exports;1997K3;90.5
Exports;1997K4;96.7
Exports;1998K1;100.1
Exports;1998K2;90.2
Exports;1998K3;86.5
Exports;1998K4;95.2
Exports;1999K1;95.1
Exports;1999K2;93.0
Exports;1999K3;89.9
Exports;1999K4;102.3
Exports;2000K1;101.0
Exports;2000K2;96.3
Exports;2000K3;95.7
Exports;2000K4;107.0
Exports;2001K1;106.6
Exports;2001K2;98.9
Exports;2001K3;100.7
Exports;2001K4;114.0
Exports;2002K1;103.0
Exports;2002K2;107.5
Exports;2002K3;102.7
Exports;2002K4;115.7
Exports;2003K1;106.3
Exports;2003K2;108.2
Exports;2003K3;100.5
Exports;2003K4;113.1
Exports;2004K1;112.4
Exports;2004K2;106.8
Exports;2004K3;101.9
Exports;2004K4;110.5
Exports;2005K1;107.5
Exports;2005K2;107.8
Exports;2005K3;101.6
Exports;2005K4;110.8
Exports;2006K1;110.0
Exports;2006K2;102.3
Exports;2006K3;99.3
Exports;2006K4;108.9
Exports;2007K1;111.2
Exports;2007K2;102.0
Exports;2007K3;100.5
Exports;2007K4;111.4
Exports;2008K1;110.7
Exports;2008K2;106.8
Exports;2008K3;98.9
Exports;2008K4;110.0
Exports;2009K1;108.4
Exports;2009K2;96.4
Exports;2009K3;98.8
Exports;2009K4;108.5
Exports;2010K1;107.8
Exports;2010K2;98.0
Exports;2010K3;92.5
Exports;2010K4;104.9
Exports;2011K1;101.4
Exports;2011K2;92.1
Exports;2011K3;96.2
Exports;2011K4;100.8
Exports;2012K1;105.4
Exports;2012K2;97.6
Exports;2012K3;90.9
Exports;2012K4;100.4
Exports;2013K1;96.0
Exports;2013K2;93.8
Exports;2013K3;90.8
Exports;2013K4;97.6
Exports;2014K1;98.9
Exports;2014K2;90.4
Exports;2014K3;91.9
Exports;2014K4;105.5
Exports;2015K1;101.3
Exports;2015K2;95.0
Exports;2015K3;98.1
Exports;2015K4;104.5
Exports;2016K1;102.5
Exports;2016K2;96.8
Exports;2016K3;94.0
Exports;2016K4;102.3
Exports;2017K1;105.0
Exports;2017K2;103.7
Exports;2017K3;99.9
Exports;2017K4;102.6
Exports;2018K1;102.9
Exports;2018K2;100.4
Exports;2018K3;98.0
Exports;2018K4;105.8
Exports;2019K1;105.0
Exports;2019K2;96.7
Exports;2019K3;94.0
Exports;2019K4;109.5
Exports;2020K1;110.5
Exports;2020K2;100.9
Exports;2020K3;103.3
Exports;2020K4;112.9
Exports;2021K1;112.8
Exports;2021K2;110.5
Exports;2021K3;118.0
Exports;2021K4;119.6
Exports;2022K1;114.4
Exports;2022K2;107.9
Exports;2022K3;113.0
Exports;2022K4;120.1
Exports;2023K1;121.3
Exports;2023K2;110.8
Exports;2023K3;109.2
